Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,-23.920,818536.000,-5.264
1200.000,-1.158,832018.000,-6.246
1250.000,16.587,808750.000,-6.212
1500.000,12.527,806109.000,-7.211
1600.000,16.337,828974.000,-8.008
1660.000,16.535,808100.000,-8.166
2000.000,16.979,820841.000,-10.182
2400.000,17.185,835937.000,-12.486
2500.000,17.120,818864.000,-12.778
3000.000,17.028,778954.000,-14.569
3200.000,16.985,806456.000,-16.111
3330.000,16.995,802330.000,-16.672
4000.000,17.073,757164.000,-18.982
4800.000,16.964,748758.000,-22.504
5000.000,16.909,749353.000,-23.464
6000.000,16.859,740482.000,-28.078
6400.000,16.835,726336.000,-29.474
6660.000,16.814,733155.000,-31.069
8000.000,16.770,667305.000,-34.161
9600.000,16.802,635635.000,-39.995
10000.000,16.798,618891.000,-40.690
12000.000,16.652,573801.000,-46.119
12500.000,16.667,560226.000,-47.148
15000.000,16.691,489344.000,-50.269
16000.000,16.670,479660.000,-53.490
16600.000,16.664,467685.000,-54.337
20000.000,16.630,410864.000,-59.120
24000.000,16.585,357532.000,-63.383
25000.000,16.572,344790.000,-63.881
30000.000,16.553,296810.000,-67.865
32000.000,16.539,278823.000,-68.013
33300.000,16.527,270791.000,-69.488
40000.000,16.483,230447.000,-72.655
48000.000,16.449,195374.000,-75.767
50000.000,16.442,188339.000,-76.618
60000.000,16.417,158034.000,-77.995
64000.000,16.403,148421.000,-78.270
66600.000,16.396,142831.000,-78.540
80000.000,16.359,120028.000,-80.732
96000.000,16.328,100516.000,-81.878
100000.000,16.321,96588.700,-82.141
120000.000,16.294,80823.400,-83.206
125000.000,16.283,77666.100,-83.330
150000.000,16.234,65038.400,-84.270
160000.000,16.215,61061.700,-84.479
166000.000,16.205,58914.100,-84.696
200000.000,16.157,49081.900,-85.248
240000.000,16.143,40976.900,-85.952
250000.000,16.141,39354.500,-86.178
300000.000,16.116,32860.000,-86.645
320000.000,16.092,30861.700,-86.810
333000.000,16.076,29688.100,-86.969
400000.000,16.017,24814.300,-87.330
480000.000,16.047,20644.700,-87.498
500000.000,16.053,19811.400,-87.527
600000.000,16.038,16527.600,-87.748
640000.000,16.037,15496.100,-87.799
666000.000,16.036,14892.000,-87.829
800000.000,16.038,12398.000,-88.022
960000.000,16.061,10317.200,-88.120
1000000.000,16.084,9890.920,-88.145
#,#,#,#
