Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,20.450,7689910.000,-80.631
-1.900,20.437,7691030.000,-80.630
-1.800,20.433,7692120.000,-80.641
-1.700,20.431,7692920.000,-80.636
-1.600,20.428,7692730.000,-80.638
-1.500,20.432,7691830.000,-80.631
-1.400,20.433,7691670.000,-80.620
-1.300,20.430,7690350.000,-80.621
-1.200,20.431,7691700.000,-80.631
-1.100,20.428,7692660.000,-80.637
-1.000,20.430,7693850.000,-80.635
-0.900,20.432,7692510.000,-80.643
-0.800,20.433,7693870.000,-80.649
-0.700,20.430,7694340.000,-80.649
-0.600,20.431,7693530.000,-80.650
-0.500,20.427,7693280.000,-80.650
-0.400,20.429,7692900.000,-80.652
-0.300,20.427,7695070.000,-80.660
-0.200,20.424,7693310.000,-80.656
-0.100,20.430,7693510.000,-80.657
0.000,20.426,7693380.000,-80.650
0.100,20.427,7692510.000,-80.665
0.200,20.428,7692370.000,-80.645
0.300,20.425,7692340.000,-80.649
0.400,20.429,7692180.000,-80.635
0.500,20.431,7692470.000,-80.625
0.600,20.430,7689070.000,-80.624
0.700,20.430,7690430.000,-80.622
0.800,20.440,7690290.000,-80.627
0.900,20.476,7693150.000,-80.635
1.000,20.495,7691590.000,-80.644
1.100,20.499,7690850.000,-80.627
1.200,20.492,7692240.000,-80.637
1.300,20.492,7692530.000,-80.638
1.400,20.488,7689690.000,-80.641
1.500,20.494,7691380.000,-80.633
1.600,20.493,7691040.000,-80.625
1.700,20.479,7691150.000,-80.613
1.800,20.475,7692550.000,-80.632
1.900,20.473,7691400.000,-80.622
2.000,20.464,7691180.000,-80.637
2.100,20.450,7694140.000,-80.636
2.200,20.442,7692940.000,-80.644
2.300,20.443,7694030.000,-80.653
2.400,20.439,7691980.000,-80.652
2.500,20.433,7692670.000,-80.654
2.600,20.430,7694780.000,-80.665
2.700,20.429,7694740.000,-80.662
2.800,20.423,7696280.000,-80.666
2.900,20.424,7696070.000,-80.666
3.000,20.420,7695170.000,-80.676
#,#,#,#
